stadium_id,stadium
KAN00,GEHA Field at Arrowhead Stadium
ATL97,Mercedes-Benz Stadium
BAL00,M&T Bank Stadium
CLE00,FirstEnergy Stadium
IND00,Lucas Oil Stadium
MIN01,U.S. Bank Stadium
NOR00,Mercedes-Benz Superdome
PIT00,Acrisure Stadium
WAS00,FedExField
CHI98,Soldier Field
DEN00,Empower Field at Mile High
LAX01,SoFi Stadium
BOS00,Gillette Stadium
SEA00,Lumen Field
NYC01,MetLife Stadium
PHI00,Lincoln Financial Field
BUF00,New Era Field
CIN00,Paycor Stadium
DET00,Ford Field
HOU00,NRG Stadium
JAX00,TIAA Bank Stadium
TAM00,Raymond James Stadium
NAS00,Nissan Stadium
PHO00,State Farm Stadium
DAL00,AT&T Stadium
CAR00,Bank of America Stadium
SFO01,Levi's Stadium
GNB00,Lambeau Field
MIA00,Hard Rock Stadium
VEG00,Allegiant Stadium
LON00,Wembley Stadium
LON02,Tottenham Stadium
FRA00,Deutsche Bank Park
SAO00,Arena Corinthians
GER00,Allianz Arena
