season,team,completions,attempts,passing_yards,penalties,timeouts,finish
2023,BAL,36,59,424,11,8,conf
2023,BUF,47,69,389,7,9,div
2023,CLE,34,46,307,4,2,wc
2023,DAL,41,60,403,6,6,wc
2023,DET,77,111,837,10,6,conf
2023,GB,37,55,466,8,9,div
2023,HOU,36,55,455,14,7,div
2023,KC,104,149,1051,16,15,champ.win
2023,LAR,25,36,367,4,3,wc
2023,MIA,20,39,199,8,3,wc
2023,PHI,25,35,250,6,6,wc
2023,PIT,22,39,229,6,4,wc
2023,SF,67,109,795,15,10,champ.loss
2023,TB,48,77,686,10,4,div
2024,BAL,34,46,429,8,9,div
2024,BUF,58,82,636,14,11,conf
2024,DEN,14,23,159,3,6,wc
2024,DET,25,43,336,5,5,div
2024,GB,20,33,212,8,2,wc
2024,HOU,41,61,527,16,8,div
2024,KC,55,83,679,16,13,champ.loss
2024,LAR,45,71,533,13,7,div
2024,LAC,14,32,242,2,5,wc
2024,MIN,25,40,245,2,4,wc
2024,PHI,65,92,726,23,13,champ.win
2024,PIT,20,30,270,7,4,wc
2024,TB,15,18,185,7,5,div
2024,WAS,76,115,845,18,11,conf
